@RELATION output/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.117557,0.038018,3.187299,0.187396,0.183916,1.224841,0.006928,0.186713,-24.052769,0.657830,-0.588016,0.480944,-0.082050,-0.229391,0.244886,0.248232,-0.122636,-0.244715,-0.205093,0.067520,0.053885,0.007778,0.008715,0.018630,0.019710,0.008159,0.017837,0.028065,0.002196,0.010949,0.001891,0.012757,0.001955,0.019846,0.023401,0.020448,0.135700,0.025639,0.021684,0.281536,0.003286,0.051033,0.938079,0.439789,0.323692,0.358194,0.319679,0.281912,0.294397,0.269888,0.294248,0.361093,0.293060,0.272689,0.212441,0.010570,0.011031,0.018211,0.021407,0.007554,0.022974,0.022313,0.003058,0.015179,0.001686,0.012223,0.002547,0.010468,240.000000,0.114286,music
0.042170,0.035559,3.090925,0.107806,0.155590,0.282148,0.010058,0.051613,-23.912356,2.847124,0.377381,0.396170,-0.101455,-0.004590,-0.035856,0.103795,0.024523,0.075509,0.127585,0.029781,0.111868,0.013778,0.001886,0.078791,0.008411,0.033588,0.028346,0.032066,0.000707,0.003527,0.015576,0.054710,0.004741,0.035711,0.016728,0.022702,0.131457,0.022552,0.028046,0.167378,0.007182,0.028976,0.784854,0.341980,0.269160,0.259471,0.231460,0.211160,0.210356,0.202961,0.210889,0.180595,0.187718,0.163230,0.174187,0.011957,0.002123,0.065663,0.008668,0.024194,0.020668,0.019545,0.000891,0.003609,0.011545,0.039909,0.004104,0.013446,150.000000,0.120163,music
0.107630,0.025972,3.150692,0.209379,0.216839,1.017047,0.007194,0.184324,-23.857023,1.661488,0.030185,0.257413,-0.221521,0.120415,0.009289,0.199196,0.237933,0.221633,-0.028706,-0.019107,-0.088570,0.033023,0.006118,0.048367,0.006667,0.011454,0.006180,0.036995,0.001674,0.007409,0.015398,0.022070,0.007356,0.025160,0.052402,0.020549,0.195325,0.057153,0.030967,0.511407,0.004684,0.119114,1.366419,0.619567,0.414692,0.380842,0.357085,0.283963,0.274308,0.275537,0.298292,0.248451,0.265964,0.230116,0.230891,0.027615,0.008375,0.043784,0.007623,0.011985,0.006759,0.038081,0.002505,0.008118,0.019062,0.019215,0.008342,0.012446,171.428571,0.132231,music
0.055204,0.022610,3.203557,0.141159,0.182473,0.396350,0.005694,0.079768,-25.074107,2.490760,-0.235072,0.011122,-0.104179,0.089959,-0.109989,-0.031636,-0.153845,-0.123795,-0.028813,0.198709,0.241243,0.015230,0.003798,0.019367,0.011327,0.034274,0.067412,0.045408,0.001387,0.003511,0.009062,0.016430,0.004246,0.033481,0.014173,0.014824,0.066358,0.018574,0.017627,0.153465,0.003060,0.025374,0.960179,0.317897,0.224344,0.227880,0.191298,0.197411,0.184687,0.173365,0.194954,0.187833,0.174326,0.215246,0.214090,0.012545,0.003613,0.014452,0.009841,0.021609,0.038040,0.025486,0.001427,0.003156,0.006851,0.012491,0.004237,0.011608,200.000000,0.099882,music
0.060696,0.020691,3.190022,0.127239,0.165753,0.414673,0.007621,0.082565,-24.801335,2.242221,-0.196151,0.141976,0.180152,0.122928,-0.160420,0.210204,0.206119,0.061739,-0.043083,0.104406,0.169083,0.013954,0.005568,0.050621,0.011924,0.043364,0.008713,0.047776,0.000904,0.002373,0.009530,0.021105,0.012667,0.027891,0.016468,0.015008,0.078390,0.018135,0.019036,0.190465,0.004667,0.023725,1.028967,0.455762,0.298288,0.275070,0.247294,0.249951,0.262241,0.277820,0.275513,0.287274,0.253512,0.214133,0.193429,0.015391,0.007354,0.038228,0.011972,0.029063,0.007753,0.031167,0.001088,0.003037,0.009776,0.014697,0.012091,0.010486,240.000000,0.100457,music
0.064911,0.023763,3.245226,0.125175,0.161520,0.475552,0.004909,0.098711,-24.134932,2.574466,-0.696094,0.026469,-0.110706,0.136387,0.060677,0.179425,0.195273,0.118679,0.035955,0.097610,0.003019,0.022735,0.004436,0.037059,0.010251,0.021078,0.008240,0.019339,0.002798,0.006937,0.010311,0.018424,0.019451,0.021232,0.011246,0.011762,0.045444,0.018590,0.023382,0.133832,0.002510,0.022143,0.588090,0.314781,0.252481,0.237506,0.230954,0.208098,0.234661,0.231603,0.243736,0.234433,0.223422,0.211432,0.179760,0.022149,0.003569,0.026778,0.006652,0.014134,0.005817,0.014597,0.002632,0.005826,0.007802,0.011279,0.016110,0.008234,300.000000,0.092672,music
0.100995,0.016025,2.979719,0.163651,0.179239,0.898634,0.012264,0.151306,-25.666185,0.704653,0.224952,-0.266177,-0.250698,0.349302,0.078322,0.374321,0.091389,0.148766,0.039223,0.200131,0.057568,0.010159,0.005724,0.065467,0.002678,0.002970,0.025822,0.135674,0.001515,0.001849,0.002186,0.011709,0.002509,0.044913,0.042402,0.012894,0.255428,0.025448,0.019377,0.401515,0.008404,0.075628,1.029056,0.582110,0.325379,0.387999,0.284917,0.244847,0.236455,0.235973,0.255936,0.232129,0.213736,0.223089,0.174494,0.011674,0.007723,0.057153,0.002728,0.002787,0.022496,0.085014,0.002601,0.002067,0.002383,0.013114,0.002635,0.021200,200.000000,0.089048,music
0.063446,0.009127,3.170774,0.126073,0.164805,0.479885,0.007733,0.096210,-26.567412,2.518569,-0.361024,0.160459,-0.066307,0.103251,-0.020213,0.154244,-0.071333,0.079883,0.111327,-0.000705,-0.085946,0.023284,0.015618,0.034304,0.007212,0.016561,0.019411,0.056694,0.003635,0.005475,0.017355,0.026762,0.007126,0.030465,0.019353,0.007390,0.126960,0.026512,0.027803,0.211865,0.004077,0.034518,1.116746,0.487521,0.316635,0.261533,0.242233,0.249073,0.260711,0.265947,0.289876,0.242760,0.217251,0.212951,0.205582,0.021496,0.017362,0.031186,0.007070,0.014156,0.015027,0.040411,0.004120,0.005676,0.013879,0.022609,0.007246,0.010729,300.000000,0.110985,music
0.039031,0.025014,3.204446,0.103126,0.163000,0.093209,0.010746,0.056870,-26.146818,3.782797,-0.383091,-0.188293,-0.052260,-0.197333,-0.370033,-0.196380,-0.205008,-0.140435,-0.168424,-0.086401,-0.169757,0.045576,0.006912,0.039898,0.015832,0.015133,0.029265,0.017371,0.001882,0.009646,0.027260,0.027760,0.004958,0.038176,0.015096,0.011293,0.121564,0.030933,0.033287,0.098435,0.011512,0.023668,1.115326,0.565465,0.428130,0.294961,0.271341,0.244815,0.240507,0.240964,0.209914,0.227332,0.207604,0.210260,0.209613,0.032396,0.006027,0.021606,0.013275,0.013188,0.023095,0.012131,0.003574,0.008315,0.025131,0.018616,0.004246,0.012733,150.000000,0.071611,music
0.065287,0.025077,3.174195,0.157640,0.216013,0.376832,0.010265,0.080962,-24.417334,2.735284,-0.819644,0.244658,0.418583,0.130226,0.157041,0.316654,-0.024586,0.164531,0.157093,0.063334,0.080672,0.010214,0.005856,0.036515,0.009921,0.022268,0.014790,0.035567,0.002257,0.004988,0.014571,0.062272,0.005599,0.029800,0.016742,0.010415,0.124051,0.028447,0.026266,0.223418,0.006321,0.021245,0.864233,0.465819,0.430829,0.275304,0.276809,0.314510,0.301205,0.285195,0.304213,0.297875,0.282562,0.254597,0.197770,0.013270,0.009719,0.029685,0.011898,0.022775,0.015878,0.028362,0.002791,0.005629,0.019209,0.042534,0.006955,0.011054,300.000000,0.098739,music
0.099470,0.017321,3.148433,0.188018,0.202728,0.979131,0.006460,0.155495,-24.060392,1.611702,0.178943,0.342692,0.351642,0.119319,0.274380,0.028035,-0.001640,0.107820,0.040651,0.199195,-0.036786,0.012661,0.005600,0.027715,0.006412,0.026577,0.009046,0.071347,0.003319,0.006160,0.013547,0.033495,0.004031,0.026693,0.028224,0.013074,0.170500,0.035410,0.029475,0.308967,0.003831,0.065256,0.861540,0.345537,0.397887,0.294071,0.268566,0.277914,0.236805,0.243434,0.225598,0.245103,0.217495,0.243856,0.216817,0.012077,0.007833,0.021569,0.007247,0.022163,0.009271,0.047657,0.005399,0.007302,0.012469,0.027728,0.005632,0.011307,171.428571,0.145650,music
0.076282,0.012433,3.243248,0.131723,0.159333,0.744320,0.004320,0.120755,-25.096985,2.179433,-0.760288,0.110242,-0.418082,-0.105660,0.038174,0.043777,-0.089087,0.113573,-0.036483,0.110089,0.133491,0.020051,0.005593,0.023177,0.014815,0.010183,0.020260,0.016311,0.007464,0.011283,0.005565,0.024607,0.029131,0.018450,0.012018,0.003455,0.035729,0.019047,0.026844,0.185028,0.001530,0.022187,0.382130,0.271942,0.218075,0.218130,0.231402,0.211234,0.211354,0.210966,0.214662,0.234778,0.208257,0.191997,0.181704,0.014532,0.006332,0.012100,0.009812,0.006839,0.015195,0.008862,0.007684,0.008579,0.003588,0.012802,0.015854,0.004902,150.000000,0.085684,music
